注文日,商品名,付帯情報,価格
2018/10/1,ゴールデンゴールド（４） (モーニングコミックス),[Kindle 版] 堀尾省太  販売: 株式会社 講談社,540
2018/10/8,ONE PIECE モノクロ版 90 (ジャンプコミックスDIGITAL),[Kindle 版] 尾田栄一郎  販売: 株式会社集英社,451
2018/10/20,メタモルフォーゼの縁側(1) (カドカワデジタルコミックス),[Kindle 版] 鶴谷 香央理  販売: Amazon Services International LLC,758
2018/10/20,ランド（５） (モーニングコミックス),[Kindle 版] 山下和美  販売: 株式会社 講談社,756
2018/10/21,ベルセルク 40 (ヤングアニマルコミックス),[Kindle 版] 三浦建太郎  販売: 株式会社 白泉社,626
2018/10/21,ランド（６） (モーニングコミックス),[Kindle 版] 山下和美  販売: 株式会社 講談社,756
2018/10/21,ランド（７） (モーニングコミックス),[Kindle 版] 山下和美  販売: 株式会社 講談社,756
2018/11/10,ブラック・ラグーン（１） (サンデーGXコミックス),[Kindle 版] 広江礼威  販売: 小学館,594
2018/11/10,ブラック・ラグーン（２） (サンデーGXコミックス),[Kindle 版] 広江礼威  販売: 小学館,594
2018/11/10,ブラック・ラグーン（３） (サンデーGXコミックス),[Kindle 版] 広江礼威  販売: 小学館,594
2018/11/11,ブラック・ラグーン（１０） (サンデーGXコミックス),[Kindle 版] 広江礼威  販売: 小学館,594
2018/11/11,ブラック・ラグーン（９） (サンデーGXコミックス),[Kindle 版] 広江礼威  販売: 小学館,594
2018/11/13,ブラック・ラグーン（８） (サンデーGXコミックス),[Kindle 版] 広江礼威  販売: 小学館,594
2018/11/14,ブラック・ラグーン（７） (サンデーGXコミックス),[Kindle 版] 広江礼威  販売: 小学館,594
2018/11/18,ブラック・ラグーン（１１） (サンデーGXコミックス),[Kindle 版] 広江礼威  販売: 小学館,648
2018/11/18,ブラック・ラグーン（４） (サンデーGXコミックス),[Kindle 版] 広江礼威  販売: 小学館,594
2018/11/18,ブラック・ラグーン（５） (サンデーGXコミックス),[Kindle 版] 広江礼威  販売: 小学館,594
2018/11/18,ブラック・ラグーン（６） (サンデーGXコミックス),[Kindle 版] 広江礼威  販売: 小学館,594
2018/12/29,***,***,2857
2018/12/30,左ききのエレン 1 (ジャンプコミックスDIGITAL),"[Kindle 版] かっぴー, nifuni  販売: 株式会社集英社",410
2018/12/31,左ききのエレン 2 (ジャンプコミックスDIGITAL),"[Kindle 版] かっぴー, nifuni  販売: 株式会社集英社",410
2018/12/31,左ききのエレン 3 (ジャンプコミックスDIGITAL),"[Kindle 版] かっぴー, nifuni  販売: 株式会社集英社",410
2019/1/1,左ききのエレン 4 (ジャンプコミックスDIGITAL),"[Kindle 版] かっぴー, nifuni  販売: 株式会社集英社",472
2019/1/1,左ききのエレン 5 (ジャンプコミックスDIGITAL),"[Kindle 版] かっぴー, nifuni  販売: 株式会社集英社",472
2019/1/1,左ききのエレン 6 (ジャンプコミックスDIGITAL),"[Kindle 版] かっぴー, nifuni  販売: 株式会社集英社",472
2019/1/4,ゴールデンゴールド（５） (モーニングコミックス),[Kindle 版] 堀尾省太  販売: 株式会社 講談社,648
2019/1/7,ONE PIECE モノクロ版 91 (ジャンプコミックスDIGITAL),[Kindle 版] 尾田栄一郎  販売: 株式会社集英社,451
2019/1/28,はっぴぃヱンド。 5巻 (デジタル版ガンガンコミックス),[Kindle 版] 有田イマリ  販売: 株式会社スクウェア・エニックス,648
2019/2/10,Ｔｈｉｓ　Ｍａｎ　その顔を見た者には死を（２） (週刊少年マガジンコミックス),"[Kindle 版] 恵広史, 花林ソラ  販売: 株式会社 講談社",454
2019/2/23,オナニーマスター黒沢（1）,"[Kindle 版] 伊瀬カツラ, ＹＯＫＯ  販売: Amazon Services International LLC",540
2019/2/23,オナニーマスター黒沢（2）,"[Kindle 版] 伊瀬カツラ, ＹＯＫＯ  販売: Amazon Services International LLC",540
2019/3/3,デバッグ・オブ・ザ・デッド　下,[Kindle 版] リーベルＧ  販売: Amazon Services International LLC,300
2019/3/3,デバッグ・オブ・ザ・デッド　上,[Kindle 版] リーベルG  販売: Amazon Services International LLC,300
